parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,
kf3[5],-6.992910502,0.3329325255529424,0.1958856157913836,2.832537459196872,21.02462885093967,1.2850135764548023,0.004815251,-6.99
kf3[6],-7.000702589,0.23284340104608353,0.065747971,12.13696715828123,12.912270346048837,1.1955923226276997,0.020632574,-7.00
kf3[7],-7.309621984,0.22810670221114263,0.13063713547713923,4.31370882,17.407738983388064,1.2781012097238094,0.007333209,-7.31
kf3[8],-7.610877966,0.29962070889302006,0.13984562448902085,3.8919048571167134,21.024628850939674,1.2217455781596982,0.006616152,-7.61
kf3[9],-7.59175293,0.371230899,0.28075662814683144,1.9002895157303266,21.024628850939674,1.5540518578460674,0.00323045,-7.59
kf3[10],-7.284087762,0.3885371746647563,0.1386581742838027,7.402346120757762,21.02462885093967,1.6678112498026318,0.012583823557199595,-7.28
kf3[11],-7.307932472,0.26796516347970795,0.08665647,10.531289312898446,21.024628850939674,0.9946347988415041,0.017902957303186685,-7.31
kf3[12],-7.766054803,0.16579921294026875,0.060091072017335864,7.123376715841223,21.024628850939678,1.0577976247059369,0.012109581781408741,-7.77
kf3[13],-7.540896837,0.28832989454710845,0.10455134385948897,7.400329000106708,34.36284709141597,1.0355540583106126,0.012580394497013491,-7.54
kf3[14],-8.389792941,0.17390351739624652,0.045898433,13.28544642457507,21.024628850939674,1.927591437874032,0.022584963058761547,-8.39
kf3[15],-8.507983272,0.2215121891104028,0.075821481,9.117516185155901,30.45279072681963,1.019376826738566,0.015499574470339469,-8.51
kf4[1],-30.76899049,0.27099421783767136,0.092330388,8.843426589,21.024628850939674,1.0883596324392166,0.015033628260677185,-30.77
kf4[2],-34.02235471,0.4335547480446764,0.3651564920126676,1.4485622405225729,21.024628850939674,2.0898879510493953,0.002462524,-34.02
kf4[3],-36.76688428,0.2833643943114504,0.1848673694789125,2.5839795671383716,21.024628850939674,1.3543928348444294,0.004392708,-36.77
kf4[4],-39.51422876,0.2704741826913418,0.1913412800370201,2.4596597533782303,21.594274432379073,1.383526093783585,0.004181367,-39.51
kf4[5],-41.7916952,0.4160847732167265,0.27571207749819754,2.2373493862351705,29.53515285948501,1.4145773169243274,0.003803444,-41.79
kf4[6],-45.56745729,0.4932329608470608,0.39661764466266997,1.5279677986473092,12.870215694308722,1.8737810387191955,0.002597511,-45.57
kf4[7],-47.93774338,0.44375836453816797,0.17921361134318153,7.7032572192148745,13.480945096787686,1.1512343318891802,0.013095366,-47.94
kf4[8],-51.05083658,0.47521320116566496,0.4236365094682484,1.405558729302306,13.280428442883311,2.110674020029122,0.002389419,-51.05
kf4[9],-54.38696055,0.9308647695937766,0.7226660641243986,1.5072361296816572,12.870215694308722,1.9049694450932761,0.002562268,-54.39
kf4[10],-56.15855375,0.34435803757370254,0.10926248962549569,9.603743129782986,16.456648485988353,1.0101676979635208,0.016326149448073306,-56.16
kf4[11],-59.79403613,0.2510456188783593,0.14304016254215668,4.000804396789514,21.024628850939674,1.2752126078285155,0.006801278,-59.79
kf4[12],-61.31460689,0.6021035828459933,0.4821476473435382,1.4560240734671765,12.739052214515215,1.9849031199743516,0.002475208,-61.31
kf4[13],-64.89643548,0.2544959718033656,0.2138997954325138,1.484822647736904,28.185541392480793,1.9838650290069764,0.002524165,-64.90
kf4[14],-67.41220319,0.876450823,0.7190603794439129,1.4652997575139202,21.024628850939674,2.0821213917956203,0.002490977,-67.41
kf4[15],-70.90697315,0.2757763941996665,0.086442066,10.203805523249903,30.253636610604858,1.1025618147635643,0.017346242,-70.91
