"model","year","age_group","education","n_observations","mse","rmse"
"Model C",2015,"15-19","Post Secondary",1,1.83262772675539e-08,0.000135374581319958
"Model C",2015,"15-19","Primary",1,7.37659157366961e-08,0.000271598813945673
"Model C",2015,"15-19","Secondary",1,2.08442405116567e-11,4.56554931105302e-06
"Model C",2015,"20-24","No Formal Education",1,2.65259480182263e-07,0.000515033474817184
"Model C",2015,"20-24","Post Secondary",1,1.33292201235065e-09,3.65092044880555e-05
"Model C",2015,"20-24","Primary",1,3.82719238840562e-08,0.000195632113631827
"Model C",2015,"20-24","Secondary",1,2.16584409597504e-08,0.000147168070449233
"Model C",2015,"25-29","No Formal Education",1,4.47604514526307e-07,0.000669032521277035
"Model C",2015,"25-29","Post Secondary",1,1.80344316524016e-09,4.24669655760823e-05
"Model C",2015,"25-29","Primary",1,2.22211102745618e-07,0.000471392726657527
"Model C",2015,"25-29","Secondary",1,7.71893055827529e-08,0.000277829634097504
"Model C",2015,"30-34","No Formal Education",1,4.32530576942079e-08,0.000207973694716923
"Model C",2015,"30-34","Post Secondary",1,3.01562734576466e-07,0.000549147279494733
"Model C",2015,"30-34","Primary",1,1.36443877625487e-06,0.0011680919382715
"Model C",2015,"30-34","Secondary",1,1.33024191877418e-06,0.00115336113978848
"Model C",2015,"35-39","No Formal Education",1,3.5405371938121e-06,0.00188163152445214
"Model C",2015,"35-39","Post Secondary",1,0.000564225962856222,0.0237534410740049
"Model C",2015,"35-39","Primary",1,0.000711004686999561,0.0266646711399102
"Model C",2015,"35-39","Secondary",1,0.000277073048636308,0.0166455113660202
"Model C",2015,"40-44","No Formal Education",1,0.000862286767208642,0.0293647197706473
"Model C",2015,"40-44","Post Secondary",1,0.0110099182011258,0.104928157332176
"Model C",2015,"40-44","Primary",1,0.0114581326421102,0.107042667390673
"Model C",2015,"40-44","Secondary",1,4.99161910749439e-06,0.00223419316700557
"Model C",2016,"15-19","No Formal Education",1,2.8319687268649e-07,0.000532162449526918
"Model C",2016,"15-19","Post Secondary",1,1.40391679643516e-09,3.74688777045051e-05
"Model C",2016,"15-19","Primary",1,4.39014720987966e-08,0.00020952678134023
"Model C",2016,"15-19","Secondary",1,1.24463553114482e-09,3.52793924429662e-05
"Model C",2016,"20-24","No Formal Education",1,1.63995012100418e-06,0.00128060537286245
"Model C",2016,"20-24","Post Secondary",1,2.85822389777555e-10,1.69062825534638e-05
"Model C",2016,"20-24","Primary",1,2.77132379920519e-08,0.00016647293471328
"Model C",2016,"20-24","Secondary",1,1.99765355728247e-08,0.000141338372612765
"Model C",2016,"25-29","No Formal Education",1,1.01176103316418e-06,0.0010058633272787
"Model C",2016,"25-29","Post Secondary",1,9.11209786818444e-10,3.01862516192131e-05
"Model C",2016,"25-29","Primary",1,9.80514231544319e-07,0.000990209185750324
"Model C",2016,"25-29","Secondary",1,5.84354716401561e-09,7.6443097556389e-05
"Model C",2016,"30-34","No Formal Education",1,2.22302796645934e-08,0.000149098221533972
"Model C",2016,"30-34","Post Secondary",1,1.00419672166596e-06,0.00100209616388147
"Model C",2016,"30-34","Primary",1,1.35397450102487e-05,0.00367963925001469
"Model C",2016,"30-34","Secondary",1,9.75804914721101e-07,0.000987828383233191
"Model C",2016,"35-39","No Formal Education",1,8.93345049143395e-07,0.000945169323001649
"Model C",2016,"35-39","Post Secondary",1,0.00035255154131226,0.0187763559114185
"Model C",2016,"35-39","Primary",1,0.000312049121734999,0.0176649121632404
"Model C",2016,"35-39","Secondary",1,0.000274823248629389,0.0165777938408399
"Model C",2016,"40-44","No Formal Education",1,0.00538477748036412,0.0733810430585728
"Model C",2016,"40-44","Post Secondary",1,0.00296740473512087,0.0544738903982529
"Model C",2016,"40-44","Primary",1,0.00210087254158653,0.0458352761700693
"Model C",2016,"40-44","Secondary",1,0.00296809715615134,0.0544802455588385
"Model C",2017,"15-19","No Formal Education",1,1.3474102094178e-07,0.000367070866375663
"Model C",2017,"15-19","Post Secondary",1,1.94255170487133e-09,4.40743883096673e-05
"Model C",2017,"15-19","Primary",1,7.44366714131073e-09,8.62766894433875e-05
"Model C",2017,"15-19","Secondary",1,3.63069165209942e-08,0.000190543739128302
